time;datacenter_id;datacenter_name;host_id;type;active;number_of_pes;available_pes;mips;available_mips;utilization_per_pe;dvfs_available;frequency_range;voltage_range;cpu_power;ram;available_ram;bw;available_bw;storage;available_storage;power_model;vms
9000.01;2;Datacenter_1;274;host;true;2;1;6000;3397.8110579733334;3000.0,397.8110579733336:3000.0,3000.0:;false;;1.200-1.3375;133.02188942026666;4000;162.0;10000;9935.0;160000;153000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,525.0,10.0:2,370.6266109333334,458.0,9.0:2,351.1199472,441.0,9.0:2,394.03460741333333,721.0,9.0:2,351.1199472,508.0,9.0:2,351.1199472,514.0,9.0:2,390.1332746666667,671.0,10.0:
9300.01;2;Datacenter_1;274;host;true;2;1;6000;3397.8110579733334;3000.0,397.8110579733336:3000.0,3000.0:;false;;1.200-1.3375;133.02188942026666;4000;162.0;10000;9935.0;160000;153000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,525.0,10.0:2,370.6266109333334,458.0,9.0:2,351.1199472,441.0,9.0:2,394.03460741333333,721.0,9.0:2,351.1199472,508.0,9.0:2,351.1199472,514.0,9.0:2,390.1332746666667,671.0,10.0:
9600.01;2;Datacenter_1;274;host;true;2;1;6000;3397.8110579733334;3000.0,397.8110579733336:3000.0,3000.0:;false;;1.200-1.3375;133.02188942026666;4000;162.0;10000;9935.0;160000;153000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,525.0,10.0:2,370.6266109333334,458.0,9.0:2,351.1199472,441.0,9.0:2,394.03460741333333,721.0,9.0:2,351.1199472,508.0,9.0:2,351.1199472,514.0,9.0:2,390.1332746666667,671.0,10.0:
9900.01;2;Datacenter_1;274;host;true;2;1;6000;3397.8110579733334;3000.0,397.8110579733336:3000.0,3000.0:;false;;1.200-1.3375;133.02188942026666;4000;162.0;10000;9935.0;160000;153000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,525.0,10.0:2,370.6266109333334,458.0,9.0:2,351.1199472,441.0,9.0:2,394.03460741333333,721.0,9.0:2,351.1199472,508.0,9.0:2,351.1199472,514.0,9.0:2,390.1332746666667,671.0,10.0:
10200.01;2;Datacenter_1;274;host;true;2;1;6000;3397.8110579733334;3000.0,397.8110579733336:3000.0,3000.0:;false;;1.200-1.3375;133.02188942026666;4000;162.0;10000;9935.0;160000;153000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,525.0,10.0:2,370.6266109333334,458.0,9.0:2,351.1199472,441.0,9.0:2,394.03460741333333,721.0,9.0:2,351.1199472,508.0,9.0:2,351.1199472,514.0,9.0:2,390.1332746666667,671.0,10.0:
10500.01;2;Datacenter_1;274;host;true;2;1;6000;3397.8110579733334;3000.0,397.8110579733336:3000.0,3000.0:;false;;1.200-1.3375;133.02188942026666;4000;162.0;10000;9935.0;160000;153000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,525.0,10.0:2,370.6266109333334,458.0,9.0:2,351.1199472,441.0,9.0:2,394.03460741333333,721.0,9.0:2,351.1199472,508.0,9.0:2,351.1199472,514.0,9.0:2,390.1332746666667,671.0,10.0:
10800.01;2;Datacenter_1;274;host;true;2;1;6000;3397.8110579733334;3000.0,397.8110579733336:3000.0,3000.0:;false;;1.200-1.3375;133.02188942026666;4000;162.0;10000;9935.0;160000;153000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,525.0,10.0:2,370.6266109333334,458.0,9.0:2,351.1199472,441.0,9.0:2,394.03460741333333,721.0,9.0:2,351.1199472,508.0,9.0:2,351.1199472,514.0,9.0:2,390.1332746666667,671.0,10.0:
11100.01;2;Datacenter_1;274;host;true;2;1;6000;3397.8110579733334;3000.0,397.8110579733336:3000.0,3000.0:;false;;1.200-1.3375;133.02188942026666;4000;162.0;10000;9935.0;160000;153000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,525.0,10.0:2,370.6266109333334,458.0,9.0:2,351.1199472,441.0,9.0:2,394.03460741333333,721.0,9.0:2,351.1199472,508.0,9.0:2,351.1199472,514.0,9.0:2,390.1332746666667,671.0,10.0:
11400.01;2;Datacenter_1;274;host;true;2;1;6000;3397.8110579733334;3000.0,397.8110579733336:3000.0,3000.0:;false;;1.200-1.3375;133.02188942026666;4000;162.0;10000;9935.0;160000;153000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,525.0,10.0:2,370.6266109333334,458.0,9.0:2,351.1199472,441.0,9.0:2,394.03460741333333,721.0,9.0:2,351.1199472,508.0,9.0:2,351.1199472,514.0,9.0:2,390.1332746666667,671.0,10.0:
11700.01;2;Datacenter_1;274;host;true;2;1;6000;3397.8110579733334;3000.0,397.8110579733336:3000.0,3000.0:;false;;1.200-1.3375;133.02188942026666;4000;162.0;10000;9935.0;160000;153000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,525.0,10.0:2,370.6266109333334,458.0,9.0:2,351.1199472,441.0,9.0:2,394.03460741333333,721.0,9.0:2,351.1199472,508.0,9.0:2,351.1199472,514.0,9.0:2,390.1332746666667,671.0,10.0:
12000.01;2;Datacenter_1;274;host;true;2;1;6000;3397.8110579733334;3000.0,397.8110579733336:3000.0,3000.0:;false;;1.200-1.3375;133.02188942026666;4000;162.0;10000;9935.0;160000;153000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,525.0,10.0:2,370.6266109333334,458.0,9.0:2,351.1199472,441.0,9.0:2,394.03460741333333,721.0,9.0:2,351.1199472,508.0,9.0:2,351.1199472,514.0,9.0:2,390.1332746666667,671.0,10.0:
12300.01;2;Datacenter_1;274;host;true;2;1;6000;3397.8110579733334;3000.0,397.8110579733336:3000.0,3000.0:;false;;1.200-1.3375;133.02188942026666;4000;162.0;10000;9935.0;160000;153000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,525.0,10.0:2,370.6266109333334,458.0,9.0:2,351.1199472,441.0,9.0:2,394.03460741333333,721.0,9.0:2,351.1199472,508.0,9.0:2,351.1199472,514.0,9.0:2,390.1332746666667,671.0,10.0:
12600.01;2;Datacenter_1;274;host;true;2;1;6000;3397.8110579733334;3000.0,397.8110579733336:3000.0,3000.0:;false;;1.200-1.3375;133.02188942026666;4000;162.0;10000;9935.0;160000;153000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,394.03460741333333,525.0,10.0:2,370.6266109333334,458.0,9.0:2,351.1199472,441.0,9.0:2,394.03460741333333,721.0,9.0:2,351.1199472,508.0,9.0:2,351.1199472,514.0,9.0:2,390.1332746666667,671.0,10.0:
300.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
600.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
900.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
1200.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
1500.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
1800.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
2100.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
2400.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
2700.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
3000.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
3300.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
3600.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
3900.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
4200.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
4500.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
4800.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
5100.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
5400.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
5700.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
6000.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
6300.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
6600.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
6900.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
7200.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
7500.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
7800.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
8100.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
8400.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
8700.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
9000.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
9300.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
9600.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
9900.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
10200.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
10500.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
10800.01;2;Datacenter_1;275;host;true;2;1;6000;3062.2964417599997;3000.0,62.29644175999948:3000.0,3000.0:;false;;1.200-1.3375;136.3770355824;4000;5.0;10000;9925.0;160000;152000.0;105.0,112.0,118.0,125.0,131.0,137.0,147.0,153.0,157.0,164.0,169.0,;2,358.92261269333335,559.0,9.0:2,386.23194192000005,475.0,10.0:2,351.1199472,637.0,9.0:2,386.23194192000005,480.0,10.0:2,351.1199472,637.0,9.0:2,358.92261269333335,436.0,9.0:2,394.03460741333333,430.0,10.0:2,351.1199472,341.0,9.0:
